Afghanistan|Kabul,Herat
China|Lianyungang,Lijiang,Shangzhi,Hami,Sog Xian,Madoi,Jiangyin,Changting,Xin Barag Youqi,Chengdu,Bose,Nantou County,Dalian,Dali,Ruili,Lincang,Hequ,Lianping,Lindong,Xinyi,Macheng,Hails,Longzhou,Mengla,Jarud Qi,Beijing,Zadoi,Weifang,Songpan,Rizhao,Zhijiang,Tangshan,Dunhuang,Chenzhou,Dulan,Anda,Lishi,Shangchuan Dao,Urumqi,Changchun,Shache,Tai Shan,Huade,Pingliang,Luoyang,Shiquanhe,Hsin Tien,YUEQING,Xingtai,Chabgling,Wudu,Tulihe,YUEYANG,Fujin,Danxian,Pengjia Yu,Yuanping,Jiuquan,Barkam,Weining,Huadian,Zaoyang,Harbin,Lian Xian,Quanzhou,NanTong,Yongan,Zhongxiang,Beihai,Otog Qi,zhangzhou,Hsintien City,Lancang,Sunwu,Dinghai,Xifengzhen,Nanjing Jiangsu,Shipu,Changsha,Chengde,Fengning,Jinghong,Haiyang Dao,Naran Bulag,Duolun,Changbai,Yihu,Shaoyang,Luxi,Linxi,Yushe,Daocheng,Weichang,Heyuan,Haliut,Tongliao,Karamay,Kaiping,Fengjie,Gushi,Shenzhen,Dongfang,YINGKOU,Linyi,Guangdong,Pagri,Haiyang,Dushan,Suzhou,Da Xian,Qamdo,Zunyi,Nanhai,Dunhua,ZIBO,Erenhot,Hefei,Pishan,Yuanling,Lushi,Jinnzhou,Nyingchi,Kuandian,Mengjin,Yuanmou,wenzhou,Huoshan,Taiyuan,Lhunze,Zihua,Napo,Deqen,Fangxian,Tongde,Wudaoling,Xilin Hot,Shenyang,WUXI,Guangchang,Henan,Shengxian,Zhangwu,Hoboksar,Bachu,Yumenzhen,Keelung City,Lishui,Nanzhong,Qingdao,Longkou,Jinghe,Aihui,Alar,Yanji,Guaizihu,Shanwei,Mudanjiang,Enshi,Tuotouhe,Xinyang,Mandal,Yungho City,Pingxiang,Wushaoling,Mohe,Xainza,Jingdezhen,Jiexiu,Huimin,Arxan,Changzhi,Huma,Dachen Dao,Lu Shan,Qionghai,Shin Lin District,Foshan,Yichun,Luzhou,Dege,Fuyun,Shengsi,Qijiaojing,Kashi,Tailai,Jiuxian Shan,Tamsui Township,Neipu Hsiang,Yanchi,Shijiazhuang,Lingling,Zhangjiakou,Xian,Suifenhe,Chaoyang,Qinglong,YUSHU,Zhanyi,Hailar,Xichang,Guangzhou,Tikanlik,Linjiang,Daqing,Wanyuan,Qiqihar,Ejin Qi,Nagqu,Quzhou,Nenjiang,Xiushui,Yulin,Hulin,Bayan Mod,Xi ujimqin Qi,Guangnan,Rongjiang,Lanzhou,Xigaze,Mazu,Baoshan,Liuzhou,Neijiang,Xunwu,Zuzhou,Changhua City,Tingri,Dongsheng,Nanning,Garze,Ganzhou,Dongying,Mengzi,Qitai,Taichung City,Mazong Shan,Lhasa,Pingtan,Huili,ZHENJIANG,Xinxian,Changshu,Nanjing,Wutai Shan,Liyang,YANGZHOU,Shaowu,Huize,Andir,Yangjiang,Chengshantou,Changhua,Simaoi,Yaxian,Dengqen,Xining,Qinhuangdao,Zhanjiang,Mengshan,TIANJIN,Fogang,Qian Gorlos,Shituan,Hangzhou,Kaba He,Zhaotong,Chuxiong,Anqing,Hotan,Zhongning,YANTAI,Baytik Shan,Golmud,Zhangye,Langzhong,Gangca,ZHUHAI,Uliastai,Bayanbulak,Ningbo,Yanzhou,Yuncheng,Tonghe,Wuzhou,Mangnai,Luodian,Luchou Township,Pucheng,Keshan,Yangcheng,Huailai,Tianmu Shan,Shanghai,ZHOUSHAN,Balguntay,Akqi,Qufu,Fuding,Changde,Nanping,Lan Yu,Hua Shan,Guiping,Hezuo,Jian,Jurh,Huang Shi City,Jiulong,Lenghu,Kangding,Minqin,Dawu,Bugt,Bijie,Tengchong,WUHAN,Mianyang,Yiyuan,Korla,Anyang,Sinan,Leting,Tianshui,Youyang,Fuzhou,Hechi,Lusi,Sertar,Baoji,Huajialing,Nancheng,Quzian,Chongqing,Kunming,Emei Shan,Fuyang,Ankang,Jixi,Chifeng,Yining,Sanhu Dao,Liangping,Delingha,Huang Shan,Tongdao,Nanyang,Abag Qi,ZIGONG,Yinchuan,Wugang,Yanan,Kaifeng,Qinzhou,Baoding,Xisha Dao,Sansui,Nanchong,Darlag,Jilin,Mucha District,Tacheng,Dongsha Dao,Zhumadian,Qumarleb,Qingjiang,Shantou,Dandong,Jiangchen,Turpan,Nanyue,ZHENGZHOU,Ruoqiang,Wuchi Town,Shaoguan,Kuqa,Jining,Xingren,Yuanjiang,Huhhot,XIAMEN,Liaoyang,Xian,Baingoin,Shiyan,Jartai,Jinan,Gaoyao,Altay,Sangzhi,Baiang,Yu Xian,Pingwu,Guilin,Jiangling,Yibin,Siping,Qingyuan
Colombia|Riohacha,Sogamoso,Laureles,Soacha,Neiva,Ipiales,Palmira,Buga,El Centro,Florencia,Funza,Envigado,Barrancas,Fusagasuga,Santa Marta,Galan,Cali,Junin,Monteria,La Victoria,San Andres,Arauca,Apartado,Fontibon,Maicao,Chiquinquira,Las Cruces,Pereira,Facatativa,Yopal,Barrancabermeja,Bucaramanga,Villa De Leiva,Ibague,Pasto,Itagui,Rionegro,Cucuta,Madrid,Las Delicias,Pamplona,Engativa,Valledupar,Sincelejo,Paipa,Zipaquira,La Calera,Cartagena,Armenia,Quibdo,Fragua,Villavicencio,Honda,Tunja,Medellin,Barranquilla,Leticia,Mosquera,Melgar,Manizales,Tocaima,Suba,Usaquen,Popayan,Girardot
Cook Islands|Avarua,Rarotonga
Costa Rica|Liberia,San Ramon,Tibas,Santa Maria,Ciudad Quesada,Quesada,Barra Del Colorado,Jaco,Turrialba,Escazu,Curridabat,Playas del Coco,Cartago,Heredia,San Francisco De Dos Rios,San Jose
Croatia|Krk,Slavonski Brod,Zagreb,Krapina,Samobor,Pakrac,Osijek,Orebic,Supetar,Pula,Sotin,Topusko,Varazdin,Split,Komiza,Dubrovnik,Djurdjevac,Zadar,Nasice,Trogir,Rijeka,Karlovac,Koprivnica
Cuba|Havana,Las Tunas,Holguin
Cyprus|Paphos,Kyrenia,Nicosia,Limassol,Larnaca,Famagusta
Czech Republic|Kralupy Nad Vltavou,Usti nad Labem,Kladno,Jicin,Chocen,Liberec,Ceske Budejovice,Brno,Most,Semily,Jihlava,Obecnice,Olomouc,Plzen,Opava,Prague,Blansko,Uhersky Brod,Zlin,Karlovy Vary,Klatovy,Pardubice,Cheb,Krnov,Pribram,Mlada Boleslav,Decin,Stod,Teplice,Hradec Kralove,Zamberk,Ostrava,Znojmo,Jablonec nad Nisou
Denmark|Skive,Slagelse,Odense,Auning,Thisted,Ringkobing,Skanderborg,Taastrup,Varde,Sindal,Silkeborg,Silkeborg,Esbjerg,Nyborg,Vedbaek,Naestved,Kolding,Ringe,Herlev,Jelling,Rodding,Gilleleje,Copenhagen ,Struer,Klokkerholm,Frederikshavn,Aabyhoj,Haderslev,Frederikssund,Hadsund,Karup,Tranbjerg,Kastrup,Hirtshals,Pandrup,Roenne,Holbaek,Aalborg,Grenaa,Vejle,Frederiksberg,Fredericia,Koege,Lemvig,Greve,Vojens,Saltum,Haslev,Glostrup,Sonderborg,Vamdrup,Bagenkop,Aabenraa,Ravsted,Dronninglund,Augustenborg,Herning,Andrup,Sunds,Ulstrup,Svendborg,Tim,Odder,Farum,Mygind,Ribe,Horsens,Grindsted,Vonge,Skibby,Tranekaer,Lyngby,Selde,Virum,Davding,Ebeltoft,Hee,Viborg,Ringsted,Aalestrup,Hobro,Roskilde,Almind
Dominican Republic|Duverge,Bani,Cevicos,Comendador,El Valle,Maimon,Santiago Rodriguez,La Mata,Las Cuevas,Tamayo,Azua De Compostela,El Factor,Bonao,Penon,Jose Contreras,San Victor,Bajos De Haina,Laguna Salada,Hondo Valle,Mao,Vicente Noble,Rio San Juan,Rancho Arriba,Juan De Herrera,Pedernales,Cristobal,Juan Santiago,Mella,Hato Mayor Del Rey,Valverde,Partido,Jimani,Monsenor Nouel,Dajabon,Sabana Yegua,Villa Vasquez,Las Guaranas,Yayas De Viajama,Higuey,Cabral,Otra Banda,La Cueva,Peravia,Villa Riva,Gaspar Hernandez,Hato Mayor,Pueblo Viejo,Los Rios,Puerto Plata,Neiba,Neyba,Las Salinas,Nigua,Estebania,San Francisco De Macoris,Arenoso,Vallejuelo,Yamasa,Villa Altagracia,Barahona,Los Cacaos,Chavon Abajo,San Cristobal,Sabana Larga,San Rafael Del Yuma,Paraiso,Los Almacigos,Tenares,Cabrera,La Romana,Galvan,Santo Domingo,San Ignacio De Sabaneta,Yaguate,Monte Plata,Tabara Arriba,La Descubierta,Esperalvillo,Oviedo,Cambita Garabitos,Esperanza,Padre Las Casas,Nisibon,Hostos,Punta Cana,Salcedo,El Penon,Sanchez,Fantino,Castanuelas,Pimentel,Castillo,El Cacao,Bayaguana,Santiago,Miches,Nagua,Enriquillo,Las Terrenas,La Cienaga,Sabana Buey,Las Matas,Peralta,Matanzas,Nizao,Pedro Santana,Sabana Grande De Boya,Banica,Loma De Cabrera,Sabana Grande Palenque,La Altagracia,Piedra Blanca,Guayabal,Cotui,Elias Pina,Moca,El Cercado,Sabana De La Mar,El Llano,Polo,Jamao Al Norte,Villa Jaragua,Don Juan,Cayetano Germosen,Las Charcas,Bahoruco,San Juan,Ubilla,Bohechio,Fundacion,Moncion,Independencia,Azua,Restauracion,Pepillo Salcedo,El Guayabal,Villa Tapia,Duarte,Las Matas De Farfan,El Pino,San Jose De Ocoa
Ecuador|Loja,Riobamba,Santo Domingo,Tulcan,Manta,Bahia,Cuenca,Machala,Guayaquil,Otavalo,San Jacinto,Latacunga,Ibarra,Puerto Ayora,Guaranda,Portoviejo,Bahia De Caraquez,Quito,Puerto Baquerizo Moreno,Santo Domingo De Los Colorados,Ambato
Egypt|Cairo,Al Mansurah,Port Said,Luxor,Alexandria,Giza,Hurghada,Heliopolis
El Salvador|Arcatao,San Jose Las Flores,San Miguel,Santa Ana,San Antonio Los Ranchos,La Libertad,San Salvador,Tenancingo
Eritrea|Taiping,Asmara
Estonia|Parnu,Tallinn,Rakvere,Tapa,Tartu,saue,Kuressaare,Maardu,Viljandi
Ethiopia|Axum,Addis Ababa
Fiji|Suva,Nailuva
Finland|Juuka,Nokia,Iisalmi,Hanko,toijala,Loviisa,Naantali,Paimio,Heinola,Seinajoki,Mariehamn,Nummela,Vantaa,Kajaani,Jakobstad,Helsinki,Kouvola,Tornio,Rauma,Forssa,Valkeakoski,Espoo,Kokkola,Vaasa,Oulu,Lapua,Jarvenpaa,Turku,Kannus,Mikkeli,Orimattila,Pori,Kemi,Raahe,Kotka,Joensuu,Sipoo,Varkaus,Ylivieska,Kuopio,Porvoo,Salo,Tampere,Lahti,Riihimaki,Rovaniemi,Imatra,Alajarvi,Uusikaupunki,Lappeenranta,Kauhajoki,Lohja,Jamsankoski
France|Le Mans,Bayonne,Longjumeau,Annecy,Meylan,Beaune,Amiens,Metz,Sciez,Nice,Pontivy,Longvic,Seclin,Montbeliard,Antibes,Douai,Cavaliere Sur Mer,Mimizan,Rombas,Orsay,Reims,Rouen,Bourges,Limoges,Saint Mande,Macon,Brest,Angouleme,Luzarches,Le Cannet,Avignon,Vichy,Coubert,Bordeaux,Saint Cloud,Mutzig,Dijon,La Rochelle,Valbonne,Luray,Cannes,Montpellier,Frejus,Grenoble,Langeac,Toulon,Lille,Geispolsheim,Anglet,Blotzheim,Saint Malo,Les Ulis,Narbonne,Strasbourg,Billom,Gap,La Vergne,Biarritz,Albi,Viry Noureuil,Colombes,Barbizon,Montelimar,Angers,Cognac,Orange,Nanterre,Compiegne,Montgeron,Beziers,Pertuis,Le Havre,Le Cendre,Rennes,Romorantin,Eguisheim,Saint Cyr Sur Loire,Caen,Belfort,Terrasson,Morez,Senonches,Vannes,Chambery,Montmorency,Le Bourget,Martigues,Deauville,Noisy Sur Ecole,Toulouse,Vitre,Chamonix,Pau,Chantilly,Laval,Le Toquet,Vendome,Troyes,Vincennes,Fourmies,Mulhouse,Nancy,Courbevoic,Nantes,Villeurbanne,Tours,Abbeville,Plaisir,Colmar,Elancourt,La Teste,Orleans,Saint Avold,Calais,Carcassonne,Coex,Bruyeres,Lyon,Gennevilliers,Arles,Biot,Perpignan,Peronne,Albertville,Dormans,Le Vesinet,Campbon,Besancon,Sevres,Voiron,Courchevel,Poitiers,Beauvezer,Nimes,Versailles,Chavaniac,Auxerre,Lourdes,Paris,Hondschoote,La Verpilliere,Granville,Arcachon,Marseille,Cambrai,Saint Etienne
The Gambia|Banjul,Kanifing
Georgia|Mtskheta,Tbilisi
